City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Gallup,US,2022-02-05 16:31:22,35.5281,-108.7426,18.36,73,0,0.0
1,Georgetown,MY,2022-02-05 16:23:16,5.4112,100.3354,80.89,81,40,0.0
2,Mount Isa,AU,2022-02-05 16:31:22,-20.7333,139.5,71.37,53,40,1.14
3,Cape Town,ZA,2022-02-05 16:27:20,-33.9258,18.4232,89.11,41,0,4.0
4,Pevek,RU,2022-02-05 16:28:02,69.7008,170.3133,-28.19,99,20,3.27
5,Necochea,AR,2022-02-05 16:31:23,-38.5473,-58.7368,62.04,75,100,24.0
6,Ribeira Grande,PT,2022-02-05 16:31:23,38.5167,-28.7,63.0,72,75,12.66
7,Cabo San Lucas,MX,2022-02-05 16:30:10,22.8909,-109.9124,68.5,65,0,3.44
8,Vaini,TO,2022-02-05 16:29:07,-21.2,-175.2,75.36,100,100,6.91
9,Mataura,NZ,2022-02-05 16:27:56,-46.1927,168.8643,40.46,98,15,1.23
10,Ushuaia,AR,2022-02-05 16:25:46,-54.8,-68.3,60.46,41,40,8.05
11,Moose Factory,CA,2022-02-05 16:31:24,51.2585,-80.6094,-4.0,59,0,10.36
12,Kutum,SD,2022-02-05 16:30:31,14.2,24.6667,62.33,16,11,12.03
13,Kapaa,US,2022-02-05 16:27:57,22.0752,-159.319,66.18,78,20,4.61
14,Erzin,TR,2022-02-05 16:31:25,36.9559,36.2,50.72,70,1,2.71
15,Alofi,NU,2022-02-05 16:29:12,-19.0595,-169.9187,75.09,94,100,4.61
16,La Paz,BO,2022-02-05 16:31:26,-16.5,-68.15,60.78,38,75,4.61
17,Durango,MX,2022-02-05 16:28:59,24.8333,-104.8333,40.33,51,0,5.03
18,Nikolskoye,RU,2022-02-05 16:29:10,59.7035,30.7861,24.87,92,100,11.86
19,Hermanus,ZA,2022-02-05 16:29:05,-34.4187,19.2345,88.9,56,53,22.06
20,Hobart,AU,2022-02-05 16:25:23,-42.8794,147.3294,60.03,76,100,4.61
21,Corinto,GR,2022-02-05 16:30:35,37.9407,22.9573,55.83,68,10,3.11
22,Kuytun,RU,2022-02-05 16:31:27,54.3419,101.5036,17.91,94,100,6.93
23,Guerrero Negro,MX,2022-02-05 16:30:40,27.9769,-114.0611,61.59,30,0,3.71
24,Bredasdorp,ZA,2022-02-05 16:27:43,-34.5322,20.0403,76.28,64,28,25.32
25,Gobabis,NA,2022-02-05 16:31:28,-22.45,18.9667,74.5,54,71,13.78
26,Albany,US,2022-02-05 16:23:56,42.6001,-73.9662,19.45,71,32,8.01
27,Nanortalik,GL,2022-02-05 16:29:19,60.1432,-45.2371,14.34,59,13,27.51
28,Busselton,AU,2022-02-05 16:27:53,-33.65,115.3333,69.04,73,0,3.18
29,Punta Arenas,CL,2022-02-05 16:28:00,-53.15,-70.9167,66.31,52,75,35.68
30,Mehamn,NO,2022-02-05 16:31:29,71.0357,27.8492,21.42,87,66,18.48
31,Arman,RU,2022-02-05 16:31:29,59.7,150.1667,-1.89,72,54,11.95
32,Selma,US,2022-02-05 16:31:30,36.5708,-119.6121,49.01,48,92,2.04
33,Mar Del Plata,AR,2022-02-05 16:27:53,-38.0023,-57.5575,67.08,90,100,32.99
34,Katobu,ID,2022-02-05 16:31:30,-4.9408,122.5276,75.72,91,94,1.12
35,Zhanakorgan,KZ,2022-02-05 16:31:30,43.9098,67.2495,33.26,62,100,9.06
36,Pundaguitan,PH,2022-02-05 16:31:31,6.3711,126.1689,80.53,77,37,20.27
37,Nkoteng,CM,2022-02-05 16:31:31,4.5167,12.0333,84.15,20,100,2.26
38,Kaitangata,NZ,2022-02-05 16:27:56,-46.2817,169.8464,45.18,91,39,4.9
39,Yellowknife,CA,2022-02-05 16:26:36,62.456,-114.3525,-13.59,83,75,8.05
40,Ponta Do Sol,PT,2022-02-05 16:29:10,32.6667,-17.1,74.12,51,3,11.1
41,Bathsheba,BB,2022-02-05 16:30:36,13.2167,-59.5167,83.01,57,20,18.41
42,San Carlos De Bariloche,AR,2022-02-05 16:30:11,-41.1456,-71.3082,70.25,30,20,3.44
43,Chaman,PK,2022-02-05 16:31:33,30.9236,66.4512,54.54,27,33,5.77
44,Tura,IN,2022-02-05 16:31:33,25.5198,90.2201,51.33,90,37,1.57
45,Northam,GB,2022-02-05 16:31:33,51.0333,-4.2167,51.42,87,100,27.47
46,Jamestown,US,2022-02-05 16:27:41,42.097,-79.2353,17.24,53,75,5.99
47,Aklavik,CA,2022-02-05 16:31:47,68.2191,-135.0107,-31.97,66,20,4.61
48,Kodiak,US,2022-02-05 16:27:55,57.79,-152.4072,35.11,80,0,3.44
49,New Norfolk,AU,2022-02-05 16:29:15,-42.7826,147.0587,59.67,62,100,1.07
50,Bluff,NZ,2022-02-05 16:32:35,-46.6,168.3333,50.11,81,36,8.3
51,Hami,CN,2022-02-05 16:32:35,42.8,93.45,27.43,26,95,15.55
52,Port Elizabeth,ZA,2022-02-05 16:29:09,-33.918,25.5701,71.1,83,75,13.8
53,Hilo,US,2022-02-05 16:28:00,19.7297,-155.09,69.62,89,100,5.75
54,Mahebourg,MU,2022-02-05 16:29:16,-20.4081,57.7,80.89,83,40,16.11
55,Asyut,EG,2022-02-05 16:32:36,27.181,31.1837,57.38,45,0,8.72
56,Deep River,CA,2022-02-05 16:32:36,46.1001,-77.4995,5.43,69,11,7.83
57,The Valley,AI,2022-02-05 16:29:47,18.217,-63.0578,82.26,69,75,17.27
58,Vestmannaeyjar,IS,2022-02-05 16:32:18,63.4427,-20.2734,31.19,51,20,9.22
59,San Cristobal,VE,2022-02-05 16:32:37,7.7669,-72.225,68.18,47,69,0.89
60,Yulara,AU,2022-02-05 16:32:38,-25.2406,130.9889,67.84,49,0,4.61
61,Buchanan,LR,2022-02-05 16:32:38,5.8808,-10.0467,89.56,68,39,11.36
62,Praia Da Vitoria,PT,2022-02-05 16:32:39,38.7333,-27.0667,59.76,94,75,18.23
63,Dikson,RU,2022-02-05 16:29:10,73.5069,80.5464,-18.62,100,96,3.74
64,Coromandel,BR,2022-02-05 16:32:39,-18.4733,-47.2003,79.36,68,97,4.25
65,Hasaki,JP,2022-02-05 16:29:08,35.7333,140.8333,25.2,35,79,9.42
66,Roma,US,2022-02-05 16:28:03,43.2128,-75.4557,18.12,77,75,13.8
